,0,1,2,3,>4
county of Alabama,0.14545454545454545,0.8545454545454545,0.0,0.0,0.0
family name,0.18181818181818182,0.6727272727272727,0.10909090909090909,0.01818181818181818,0.01818181818181818
like a city,0.45454545454545453,0.4909090909090909,0.03636363636363636,0.01818181818181818,0.0
designation for an administrative territorial entity,0.2,0.41818181818181815,0.23636363636363636,0.01818181818181818,0.12727272727272726
class (set theory),0.14545454545454545,0.4,0.21818181818181817,0.09090909090909091,0.14545454545454545
disease,0.4727272727272727,0.4,0.09090909090909091,0.01818181818181818,0.01818181818181818
city of the United States,0.6,0.4,0.0,0.0,0.0
county of Tennessee,0.4727272727272727,0.38181818181818183,0.10909090909090909,0.01818181818181818,0.01818181818181818
fictional humanoid,0.4727272727272727,0.38181818181818183,0.10909090909090909,0.01818181818181818,0.01818181818181818
legal person,0.2,0.36363636363636365,0.18181818181818182,0.05454545454545454,0.2
subject,0.16363636363636364,0.36363636363636365,0.21818181818181817,0.03636363636363636,0.21818181818181817
,0.2,0.36363636363636365,0.18181818181818182,0.05454545454545454,0.2
juridical person,0.2,0.36363636363636365,0.18181818181818182,0.05454545454545454,0.2
institution,0.32727272727272727,0.34545454545454546,0.2,0.01818181818181818,0.10909090909090909
fictional character,0.43636363636363634,0.34545454545454546,0.14545454545454545,0.03636363636363636,0.03636363636363636
transport infrastructure,0.21818181818181817,0.34545454545454546,0.18181818181818182,0.10909090909090909,0.14545454545454545
physical system,0.21818181818181817,0.34545454545454546,0.18181818181818182,0.10909090909090909,0.14545454545454545
health problem,0.43636363636363634,0.34545454545454546,0.14545454545454545,0.03636363636363636,0.03636363636363636
absence,0.43636363636363634,0.34545454545454546,0.14545454545454545,0.03636363636363636,0.03636363636363636
third-level administrative country subdivision,0.4909090909090909,0.34545454545454546,0.07272727272727272,0.07272727272727272,0.01818181818181818
infrastructure,0.21818181818181817,0.34545454545454546,0.18181818181818182,0.10909090909090909,0.14545454545454545
mathematical object,0.12727272727272726,0.34545454545454546,0.23636363636363636,0.14545454545454545,0.14545454545454545
temporal entity,0.4909090909090909,0.34545454545454546,0.07272727272727272,0.07272727272727272,0.01818181818181818
disposition,0.43636363636363634,0.34545454545454546,0.14545454545454545,0.03636363636363636,0.03636363636363636
fictional organism,0.43636363636363634,0.34545454545454546,0.14545454545454545,0.03636363636363636,0.03636363636363636
item with given name property,0.43636363636363634,0.34545454545454546,0.14545454545454545,0.03636363636363636,0.03636363636363636
fictional creature,0.43636363636363634,0.34545454545454546,0.14545454545454545,0.03636363636363636,0.03636363636363636
property,0.38181818181818183,0.32727272727272727,0.12727272727272726,0.07272727272727272,0.09090909090909091
phenomenon,0.43636363636363634,0.32727272727272727,0.12727272727272726,0.05454545454545454,0.05454545454545454
operation point,0.32727272727272727,0.32727272727272727,0.12727272727272726,0.10909090909090909,0.10909090909090909
given name,0.5636363636363636,0.3090909090909091,0.07272727272727272,0.05454545454545454,0.0
male given name,0.5818181818181818,0.3090909090909091,0.09090909090909091,0.01818181818181818,0.0
,0.5272727272727272,0.3090909090909091,0.07272727272727272,0.07272727272727272,0.01818181818181818
water area,0.5636363636363636,0.3090909090909091,0.05454545454545454,0.05454545454545454,0.01818181818181818
county of Georgia,0.6727272727272727,0.2909090909090909,0.03636363636363636,0.0,0.0
monitoring station,0.6727272727272727,0.2909090909090909,0.03636363636363636,0.0,0.0
weather station,0.6909090909090909,0.2909090909090909,0.01818181818181818,0.0,0.0
county or county-equivalent,0.09090909090909091,0.2909090909090909,0.2,0.10909090909090909,0.3090909090909091
legal fact,0.4727272727272727,0.2909090909090909,0.18181818181818182,0.03636363636363636,0.01818181818181818
dialect,0.6363636363636364,0.2727272727272727,0.09090909090909091,0.0,0.0
county,0.10909090909090909,0.2727272727272727,0.21818181818181817,0.09090909090909091,0.3090909090909091
intellectual work,0.2545454545454545,0.2727272727272727,0.14545454545454545,0.09090909090909091,0.23636363636363636
county of the United States,0.10909090909090909,0.2727272727272727,0.21818181818181817,0.09090909090909091,0.3090909090909091
educational institution,0.4909090909090909,0.2727272727272727,0.12727272727272726,0.05454545454545454,0.05454545454545454
landform,0.3090909090909091,0.2727272727272727,0.16363636363636364,0.05454545454545454,0.2
educational organization,0.4909090909090909,0.2727272727272727,0.12727272727272726,0.05454545454545454,0.05454545454545454
geomorphological unit,0.3090909090909091,0.2727272727272727,0.16363636363636364,0.05454545454545454,0.2
river,0.7090909090909091,0.2545454545454545,0.01818181818181818,0.0,0.01818181818181818
administrative territorial entity of Wisconsin,0.41818181818181815,0.2545454545454545,0.09090909090909091,0.10909090909090909,0.12727272727272726
multi-organism behavior,0.7272727272727273,0.2545454545454545,0.01818181818181818,0.0,0.0
exchange,0.7272727272727273,0.2545454545454545,0.01818181818181818,0.0,0.0
civil parish,0.6363636363636364,0.2545454545454545,0.03636363636363636,0.03636363636363636,0.03636363636363636
long-distance trail,0.18181818181818182,0.2545454545454545,0.18181818181818182,0.07272727272727272,0.3090909090909091
second-level administrative country subdivision,0.09090909090909091,0.2545454545454545,0.23636363636363636,0.09090909090909091,0.32727272727272727
town of the United States,0.2727272727272727,0.2545454545454545,0.12727272727272726,0.09090909090909091,0.2545454545454545
administrative territorial entity of a specific level,0.09090909090909091,0.2545454545454545,0.18181818181818182,0.09090909090909091,0.38181818181818183
sports team,0.5636363636363636,0.2545454545454545,0.10909090909090909,0.01818181818181818,0.05454545454545454
census-designated place,0.2,0.23636363636363636,0.10909090909090909,0.14545454545454545,0.3090909090909091
multi-organism process,0.7454545454545455,0.23636363636363636,0.01818181818181818,0.0,0.0
census place,0.2,0.23636363636363636,0.10909090909090909,0.14545454545454545,0.3090909090909091
energy transfer,0.7272727272727273,0.23636363636363636,0.03636363636363636,0.0,0.0
classification scheme,0.2545454545454545,0.23636363636363636,0.2545454545454545,0.05454545454545454,0.2
property,0.2,0.23636363636363636,0.23636363636363636,0.14545454545454545,0.18181818181818182
category of being,0.2,0.23636363636363636,0.23636363636363636,0.14545454545454545,0.18181818181818182
representation,0.2,0.23636363636363636,0.23636363636363636,0.14545454545454545,0.18181818181818182
mental representation,0.2,0.23636363636363636,0.23636363636363636,0.14545454545454545,0.18181818181818182
quality,0.2,0.23636363636363636,0.23636363636363636,0.14545454545454545,0.18181818181818182
natural geographic entity,0.2545454545454545,0.23636363636363636,0.2545454545454545,0.05454545454545454,0.2
concept,0.2,0.23636363636363636,0.23636363636363636,0.14545454545454545,0.18181818181818182
process,0.6727272727272727,0.23636363636363636,0.03636363636363636,0.05454545454545454,0.0
arrangement,0.6181818181818182,0.23636363636363636,0.07272727272727272,0.05454545454545454,0.01818181818181818
inconstancy,0.6181818181818182,0.23636363636363636,0.07272727272727272,0.05454545454545454,0.01818181818181818
song,0.5818181818181818,0.23636363636363636,0.10909090909090909,0.03636363636363636,0.03636363636363636
sports location,0.2545454545454545,0.21818181818181817,0.16363636363636364,0.05454545454545454,0.3090909090909091
school district,0.5636363636363636,0.21818181818181817,0.16363636363636364,0.03636363636363636,0.01818181818181818
mine,0.7272727272727273,0.21818181818181817,0.05454545454545454,0.0,0.0
astronomical object type,0.7636363636363637,0.21818181818181817,0.01818181818181818,0.0,0.0
bibliography,0.7818181818181819,0.21818181818181817,0.0,0.0,0.0
town,0.2727272727272727,0.21818181818181817,0.16363636363636364,0.05454545454545454,0.2909090909090909
administrative territorial entity of a state of the United States,0.01818181818181818,0.21818181818181817,0.2,0.23636363636363636,0.32727272727272727
natural physical object,0.38181818181818183,0.21818181818181817,0.16363636363636364,0.05454545454545454,0.18181818181818182
Breed,0.38181818181818183,0.21818181818181817,0.16363636363636364,0.05454545454545454,0.18181818181818182
island,0.32727272727272727,0.21818181818181817,0.14545454545454545,0.07272727272727272,0.23636363636363636
factory,0.7636363636363637,0.21818181818181817,0.01818181818181818,0.0,0.0
hiking trail,0.2545454545454545,0.21818181818181817,0.16363636363636364,0.05454545454545454,0.3090909090909091
creative work,0.4909090909090909,0.21818181818181817,0.10909090909090909,0.07272727272727272,0.10909090909090909
nonprofit organization,0.6,0.21818181818181817,0.10909090909090909,0.01818181818181818,0.05454545454545454
rule,0.7636363636363637,0.21818181818181817,0.01818181818181818,0.0,0.0
linguistic unit,0.18181818181818182,0.21818181818181817,0.43636363636363634,0.10909090909090909,0.05454545454545454
rail infrastructure,0.6727272727272727,0.21818181818181817,0.03636363636363636,0.03636363636363636,0.03636363636363636
municipal corporation,0.03636363636363636,0.2,0.12727272727272726,0.07272727272727272,0.5636363636363636
name,0.18181818181818182,0.2,0.4727272727272727,0.09090909090909091,0.05454545454545454
emic unit,0.18181818181818182,0.2,0.43636363636363634,0.10909090909090909,0.07272727272727272
bionym,0.18181818181818182,0.2,0.4727272727272727,0.09090909090909091,0.05454545454545454
word,0.18181818181818182,0.2,0.4727272727272727,0.09090909090909091,0.05454545454545454
part of speech,0.18181818181818182,0.2,0.4727272727272727,0.09090909090909091,0.05454545454545454
name,0.18181818181818182,0.2,0.4,0.14545454545454545,0.07272727272727272
content,0.6363636363636364,0.2,0.09090909090909091,0.03636363636363636,0.03636363636363636
physico-geographical object,0.4909090909090909,0.2,0.12727272727272726,0.07272727272727272,0.10909090909090909
political organisation,0.03636363636363636,0.2,0.12727272727272726,0.07272727272727272,0.5636363636363636
scholarly work,0.7818181818181819,0.2,0.01818181818181818,0.0,0.0
