Metropolitan/Nonmetropolitan,County,"Violent
crime","Murder and
nonnegligent
manslaughter","Rape
(revised
definition)1",Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft"
Metropolitan Counties,Autauga,68,2,8,6,52,414,170,199,45
,Baldwin,98,0,4,18,76,662,230,405,27
,Bibb,4,0,1,0,3,82,42,34,6
,Blount,90,0,6,1,83,923,311,524,88
,Calhoun,15,0,3,1,11,471,200,266,5
,Chilton,79,0,18,2,59,532,223,260,49
,Colbert,58,0,16,4,38,436,131,264,41
,Elmore,52,0,13,11,28,868,357,452,59
,Etowah,86,0,22,3,61,615,239,326,50
,Geneva,52,2,7,0,43,150,76,60,14
,Hale,14,0,1,0,13,98,35,53,10
,Henry,19,0,3,2,14,129,56,62,11
,Houston,80,1,20,6,53,515,164,307,44
,Lawrence,66,1,11,8,46,435,142,247,46
,Limestone,82,0,11,2,69,585,188,362,35
,Lowndes,49,2,10,3,34,241,114,106,21
,Madison,342,6,55,50,231,2175,637,1370,168
,Mobile,139,3,26,15,95,2079,670,1201,208
,Montgomery,20,0,5,7,8,220,94,104,22
,Russell,43,4,10,4,25,453,159,255,39
,St. Clair,29,0,4,1,24,268,185,83,0
,Tuscaloosa,213,3,19,20,171,1284,366,790,128
,Walker,103,1,12,10,80,1058,339,580,139
Nonmetropolitan Counties,Barbour,17,2,2,2,11,128,68,55,5
,Bullock,15,0,0,3,12,84,65,15,4
,Butler,44,1,7,4,32,214,93,113,8
,Chambers,4,0,0,2,2,96,52,43,1
,Cherokee,49,2,8,2,37,388,131,216,41
,Clarke,72,0,6,4,62,113,48,49,16
,Clay,17,0,1,0,16,31,10,17,4
,Coffee,28,0,7,2,19,203,80,96,27
,Coosa,13,0,1,0,12,201,74,121,6
,Covington,22,0,4,0,18,210,76,115,19
,Crenshaw,52,1,3,2,46,143,56,73,14
,Cullman,84,2,34,8,40,1030,297,646,87
,Dale,29,1,9,0,19,190,55,119,16
,Dallas,65,2,10,9,44,462,182,251,29
,DeKalb,128,2,28,4,94,810,312,427,71
,Escambia,24,0,0,6,18,133,47,78,8
,Franklin,26,0,5,1,20,317,127,166,24
,Greene,24,1,1,4,18,90,33,46,11
,Jackson,81,3,20,0,58,588,264,274,50
,Lamar,16,0,2,0,14,29,9,18,2
,Macon,24,0,4,7,13,151,64,78,9
,Marengo,33,0,3,3,27,178,64,102,12
,Marion,30,1,5,2,22,188,66,110,12
,Marshall,47,0,9,3,35,447,220,203,24
,Monroe,34,0,0,1,33,136,40,85,11
,Pike,15,0,1,1,13,155,38,105,12
,Randolph,2,0,0,0,2,169,81,87,1
,Talladega,74,0,1,10,63,901,340,492,69
,Tallapoosa,19,0,9,0,10,146,71,63,12
,Washington,22,0,2,0,20,86,25,52,9
,Wilcox,52,2,0,3,47,105,38,62,5
,Winston,15,0,6,0,9,86,35,47,4
