s,c,id
http://www.wikidata.org/entity/Q81163,114,Q81163
http://www.wikidata.org/entity/Q81392,6,Q81392
http://www.wikidata.org/entity/Q81659,11,Q81659
http://www.wikidata.org/entity/Q81669,123,Q81669
http://www.wikidata.org/entity/Q81672,247,Q81672
http://www.wikidata.org/entity/Q81707,22,Q81707
http://www.wikidata.org/entity/Q81727,17,Q81727
http://www.wikidata.org/entity/Q81851,173,Q81851
http://www.wikidata.org/entity/Q81895,133,Q81895
http://www.wikidata.org/entity/Q81917,863,Q81917
http://www.wikidata.org/entity/Q81982,13,Q81982
http://www.wikidata.org/entity/Q82042,40,Q82042
http://www.wikidata.org/entity/Q82101,35,Q82101
http://www.wikidata.org/entity/Q82137,19,Q82137
http://www.wikidata.org/entity/Q82117,1552,Q82117
http://www.wikidata.org/entity/Q82231,6,Q82231
http://www.wikidata.org/entity/Q82383,10,Q82383
http://www.wikidata.org/entity/Q82414,26,Q82414
http://www.wikidata.org/entity/Q82480,46,Q82480
http://www.wikidata.org/entity/Q82550,9,Q82550
http://www.wikidata.org/entity/Q82604,68,Q82604
http://www.wikidata.org/entity/Q82614,15,Q82614
http://www.wikidata.org/entity/Q82673,21,Q82673
http://www.wikidata.org/entity/Q82744,8,Q82744
http://www.wikidata.org/entity/Q82753,604,Q82753
http://www.wikidata.org/entity/Q82818,14,Q82818
http://www.wikidata.org/entity/Q82821,73,Q82821
http://www.wikidata.org/entity/Q82799,905,Q82799
http://www.wikidata.org/entity/Q82794,2395,Q82794
http://www.wikidata.org/entity/Q82955,10,Q82955
http://www.wikidata.org/entity/Q82990,12,Q82990
http://www.wikidata.org/entity/Q83034,11,Q83034
http://www.wikidata.org/entity/Q83090,12,Q83090
http://www.wikidata.org/entity/Q83116,11,Q83116
http://www.wikidata.org/entity/Q83203,31,Q83203
http://www.wikidata.org/entity/Q83204,6,Q83204
http://www.wikidata.org/entity/Q83261,83,Q83261
http://www.wikidata.org/entity/Q83267,102,Q83267
http://www.wikidata.org/entity/Q83306,18,Q83306
http://www.wikidata.org/entity/Q83307,8,Q83307
http://www.wikidata.org/entity/Q83323,7,Q83323
http://www.wikidata.org/entity/Q83373,65,Q83373
http://www.wikidata.org/entity/Q83376,6,Q83376
http://www.wikidata.org/entity/Q83437,17,Q83437
http://www.wikidata.org/entity/Q83459,6,Q83459
http://www.wikidata.org/entity/Q83405,1581,Q83405
http://www.wikidata.org/entity/Q83464,11,Q83464
http://www.wikidata.org/entity/Q83471,78,Q83471
http://www.wikidata.org/entity/Q83478,21,Q83478
http://www.wikidata.org/entity/Q83620,4358,Q83620
http://www.wikidata.org/entity/Q83790,80,Q83790
http://www.wikidata.org/entity/Q83828,1315,Q83828
http://www.wikidata.org/entity/Q83875,143,Q83875
http://www.wikidata.org/entity/Q85477,106,Q85477
http://www.wikidata.org/entity/Q86622,105,Q86622
http://www.wikidata.org/entity/Q65943,2234,Q65943
http://www.wikidata.org/entity/Q66016,22,Q66016
http://www.wikidata.org/entity/Q66055,12,Q66055
http://www.wikidata.org/entity/Q66295,21,Q66295
http://www.wikidata.org/entity/Q66344,198,Q66344
http://www.wikidata.org/entity/Q68685,12,Q68685
http://www.wikidata.org/entity/Q69883,8,Q69883
http://www.wikidata.org/entity/Q70252,9,Q70252
http://www.wikidata.org/entity/Q70208,3325,Q70208
